City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,Non Sung,TH,81.61,few clouds,15.1801,102.2569,บ้านของกลอยใจ
294,Sorong,ID,81.27,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
295,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
298,Punta Alta,AR,75.85,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
309,Morant Bay,JM,83.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
310,La Romana,DO,79.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
313,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
315,Nata,PA,82.47,scattered clouds,8.3333,-80.5167,Rey David
317,Manggar,ID,79.81,broken clouds,-2.8833,108.2667,Guest Hotel
318,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
319,Cockburn Town,TC,75.92,clear sky,21.4612,-71.1419,Osprey Beach Hotel
326,Maldonado,UY,76.23,broken clouds,-34.6667,-54.9167,La Cimarrona
327,Bandarbeyla,SO,76.51,clear sky,9.4942,50.8122,JABIR HOTEL
329,Mtwara,TZ,82.31,light rain,-10.2667,40.1833,TIL Hotels Mtwara
337,Ondjiva,AO,77.85,overcast clouds,-17.0667,15.7333,COMBUESA
339,Venkatagiri,IN,79.27,scattered clouds,13.9667,79.5833,Sri VishnuYamaha
343,San Policarpo,PH,75.79,overcast clouds,12.1791,125.5072,Agapita M. Nicart
344,Waingapu,ID,79.16,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
350,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
352,Xai-Xai,MZ,82.24,scattered clouds,-25.0519,33.6442,Complexo da Familia
356,Aripuana,BR,81.5,broken clouds,-9.1667,-60.6333,
362,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
367,Eirunepe,BR,79.03,overcast clouds,-6.6603,-69.8736,Atrás de você
370,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
377,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
380,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
388,Kaabong,UG,77.99,overcast clouds,3.4836,34.1492,Rock Motel Ltd
392,Lakatoro,VU,78.76,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
401,Nabire,ID,76.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
409,Mackay,AU,78.78,light intensity shower rain,-21.15,149.2,International Lodge Motel
427,San Felipe,VE,82.09,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
434,Saldanha,ZA,78.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
435,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
436,Alyangula,AU,82.27,thunderstorm,-13.8483,136.4192,Groote Eylandt Lodge
441,Hoskote,IN,77.31,broken clouds,13.0669,77.7983,Hotel LG PARK
442,Adrar,MR,82.2,few clouds,20.5022,-10.0711,
445,Koumac,NC,79.97,light rain,-20.5667,164.2833,Le Monitel
450,Poum,NC,81.12,light rain,-20.2333,164.0167,
451,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
453,Panaba,MX,79.74,clear sky,21.2833,-88.2667,Hotel California
454,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
456,Lucea,JM,81.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
461,Ocho Rios,JM,83.75,scattered clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
463,Coro,VE,83.17,clear sky,11.4045,-69.6734,Federal
464,Balangiga,PH,75.0,overcast clouds,11.1097,125.3875,Country Inn Bed and Breakfast
465,Kloulklubed,PW,81.55,few clouds,7.0419,134.2556,Storyboard Beach Resort
467,Bubaque,GW,78.55,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
468,Buala,SB,80.53,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
469,Ibiapina,BR,80.15,overcast clouds,-3.9233,-40.8894,Hotel Pinheiro
474,Rocha,UY,80.85,broken clouds,-34.4833,-54.3333,Hotel Arrarte
481,Bambanglipuro,ID,77.83,light rain,-7.95,110.2833,Puri Brata
483,Robertsport,LR,82.83,clear sky,6.7533,-11.3686,Kwepunha Retreat
488,Sabang,ID,83.25,scattered clouds,5.8933,95.3214,Hotel Citra
491,Kavaratti,IN,79.11,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
492,Moerai,PF,78.08,light rain,-22.4333,-151.3333,Le Manotel
500,Puerto Escondido,MX,79.09,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
502,Prainha,BR,80.74,light rain,-1.8,-53.48,Casa Rocha
503,Beloha,MG,79.7,clear sky,-25.1667,45.05,
504,Jaciara,BR,84.49,overcast clouds,-15.9653,-54.9683,Taba Hotel
510,Bahia Honda,CU,77.41,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
515,Itarema,BR,83.93,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
520,Panlaitan,PH,79.97,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
523,Unai,BR,84.61,broken clouds,-16.3575,-46.9061,Hotel Regente
526,Pontianak,ID,75.18,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
533,The Valley,AI,80.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
535,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
536,San Carlos,VE,80.96,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
541,Wewak,PG,80.02,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
551,Kantang,TH,77.54,scattered clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
562,Senador Jose Porfirio,BR,80.87,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
564,Nanyamba,TZ,77.56,moderate rain,-10.6833,39.8333,Busati Lodge Nanyamba
568,Alibag,IN,77.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
570,Dolores,AR,80.94,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
572,Pemba,MZ,84.9,scattered clouds,-12.974,40.5178,Guesthouse Samotina
577,Costa Rica,BR,80.19,overcast clouds,-23.4167,-54.65,
584,Soyo,AO,82.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
591,Nueve De Julio,AR,78.71,moderate rain,-35.4444,-60.8831,Grand Hotel Libertad - GHL
598,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
600,Sainte-Rose,GP,82.44,broken clouds,16.3324,-61.6979,Villa - Duzer
602,Rio Grande,BR,77.11,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
603,Saint-Pierre,RE,82.04,few clouds,-21.3393,55.4781,Lindsey Hôtel
605,Kudahuvadhoo,MV,81.86,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
606,Gizo,SB,82.26,overcast clouds,-8.103,156.8419,Imagination Island
608,Manaure,CO,82.51,clear sky,11.7751,-72.4445,Hotel Palaaima
612,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
