City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ayolas,PY,2022-01-29 00:20:34,-27.4,-56.9,78.8,28,0,8.88
68,Cannes,FR,2022-01-29 00:20:55,43.55,7.0167,54.19,60,0,3.44
69,Dikson,RU,2022-01-29 00:16:58,73.5069,80.5464,3.54,94,100,18.16
70,Kholtoson,RU,2022-01-29 00:20:55,50.2981,103.3097,-7.76,98,99,2.44
71,Klyuchi,RU,2022-01-29 00:20:56,52.2667,79.1667,-2.2,92,91,7.18
72,Huarmey,PE,2022-01-29 00:17:40,-10.0681,-78.1522,70.83,82,100,7.07
73,Ciro Marina,IT,2022-01-29 00:20:56,39.3732,17.126,42.85,76,100,25.55
74,Lagoa,PT,2022-01-29 00:20:56,39.05,-27.9833,57.87,59,62,11.48
75,Fairbanks,US,2022-01-29 00:20:03,64.8378,-147.7164,8.56,47,75,12.66
76,Bethel,US,2022-01-29 00:20:51,41.3712,-73.414,30.65,87,75,4.61
77,Muros,ES,2022-01-29 00:20:57,42.7762,-9.0603,45.1,71,0,7.23
78,Cape Town,ZA,2022-01-29 00:20:57,-33.9258,18.4232,66.61,66,0,3.0
79,Qianguo,CN,2022-01-29 00:20:58,45.1171,124.8568,-3.42,85,7,7.54
80,Biak,ID,2022-01-29 00:20:58,-0.9131,122.8766,78.39,79,100,2.46
81,Mahebourg,MU,2022-01-29 00:20:58,-20.4081,57.7,77.29,88,40,0.0
82,Dali,CN,2022-01-29 00:20:58,25.7,100.1833,35.37,89,3,3.33
83,Souillac,MU,2022-01-29 00:20:59,-20.5167,57.5167,77.38,88,40,0.0
84,Rawson,AR,2022-01-29 00:20:52,-43.3002,-65.1023,68.88,74,23,14.74
85,Constitucion,CL,2022-01-29 00:16:23,-35.3333,-72.4167,58.91,89,0,7.07
86,Kumluca,TR,2022-01-29 00:20:59,36.3703,30.2869,37.67,71,17,5.59
87,San Cristobal,VE,2022-01-29 00:21:00,7.7669,-72.225,73.58,84,57,3.42
88,Grandview,US,2022-01-29 00:17:50,38.8858,-94.533,27.75,39,0,4.61
89,Yellowknife,CA,2022-01-29 00:21:00,62.456,-114.3525,-1.59,87,40,9.22
90,Trairi,BR,2022-01-29 00:22:00,-3.2778,-39.2689,72.45,88,100,5.03
91,Lorengau,PG,2022-01-29 00:22:01,-2.0226,147.2712,81.77,81,98,5.23
92,Seminole,US,2022-01-29 00:22:01,28.7086,-81.2081,63.0,76,75,1.99
93,Skibbereen,IE,2022-01-29 00:22:01,51.55,-9.2667,51.6,93,100,20.69
94,Mar Del Plata,AR,2022-01-29 00:22:02,-38.0023,-57.5575,69.87,75,0,21.99
95,Shenjiamen,CN,2022-01-29 00:18:44,29.9576,122.298,42.75,83,100,15.82
96,Najran,SA,2022-01-29 00:22:02,17.4924,44.1277,52.45,28,15,3.04
